label,text
Input,Vernon Coaker confirms  Labour won't give the people a say. ONLY the @Conservatives will #LetBritainDecide
Input,Extraordinarily depressing that Labour think their only way of appearing 'pro business' is by denying the people a say on the EU.
Input,I will shortly be voting for the EU Referendum Bill. Only the @Conservatives will give people a say on UK membership of EU.
Input,@fitzybloke feel free to include the other concerns you've articulated on Twitter. I can guarantee you a full response #democracyinaction!
Input,@torbayred @Bygones_Torquay and in 2005 Eng got a majority Lab Govt whilst voting Con. We are one country.
Input,@ArtOfTheSublime @BlueFoxCAFH We may disagree on some things but as your MP on this one we are on the same side.
Input,David Cameron: 'This election's all about my career...sorry I mean country'
Input,Lid Dem chicanery proves only way for British people to have an in/out say on EU is a Conservative majority in the next Parliament
Input,"@godwyns No. In addition to empowering voters, its existence would keep MPs on their toes. But yes I believe it wd only be used in extremes."
Input,"Desperate to cling onto power, @David_Cameron is putting at risk future of the UK. Says who? The former Tory Secretary of State for Scotland"
Input,Not the #defamation corporations concession we were expecting. Lib Dems bought off cheaply
Input,I back Britain staying in. Our future is brightest in a free trading Europe while keeping control of our borders and our currency.
Input,WATCH: Boris on why he wants Brexit. There are issues of “political control and accountability”
Input,@KiwiGooner01 @Odbe34 @BNewsCentre perhaps should have been on twitter sooner. Took persuasion from people to take plunge.
Input,@juter good idea. But people would expect and should expect a response to emails/letters. My 'comms team' would still have to input them tho
Input,"Democracy and elections create uncertainty.  But look at the uncertainty CAUSED by EU: €-crisis, migration crisis...  Quoted: DT Bernard Jenkin: RT Ben Gummer: IMF: 'No economic player likes uncertainty. They don’t invest, t..."
Input,"IDS says EU is a political project, designed so elected politicians can't overrule the bureaucracy. Very true #TakeBackControl @vote_leave"
Input,My podcast on #Budget2016-there were good bits but could've been more if we #VoteLeave and #takebackcontrol from EU
Input,@ACQuinney I think that has long been an issue tbh. Still an imbalance & dominance of career political elites in all parties
Input,@agriffithsmp @PaulGoodmanCH despite of EU. We are serious about reform GO lead that. EU elites are not.
Input,@sundersays @wdjstraw I want us to be in control of our immigration policy. Is that difficult to get? EU elites don't get that.
Input,"Nice lampoon of the self-interested establishment payroll elite's #ProjectFear #BeLeave   Quoted: Well played, Private Eye. #brexit"
Input,Resolving constituents probs= 1 of the most important/postive functions of being an elected MP &constituency offices
Input,"Well done to @agriffithsmp a tireless worker for his constituents, the British Brewing Industry & supporter of the mighty @burtonalbionfc"
Input,Have your say on @EricPickles electoral fraud review by 8 Oct. Help us stamp out corruption:
Input,"#UK @ArabPartnership has provided &lt;£3m supporting political engagement & govt capacity in #Tunisia on elections, media, anti-corruptions"
Input,Public audit fights back: insisting on government transparency worldwide  @margarethodge @CommonsPAC
Input,A bad day for government transparency. Hurrah for @TheIFS. What about the Office for Budget Responsbility?
Input,Funny how all the 'real people' @Ed_Miliband meets agree with him. No one has questioned his plan 4 more borrowing & spending + higher taxes
Input,"PM: As democratically elected leaders, we should choose who should run EU Commission rather than some new process never agreed #EUTopJobs"
Input,@freethepeeps I'll listen to all those who have returned the survey to me. Members and supporters. Thanks for input.
Input,Ethnic minority voters could hold key to 2015 general election result
Input,Music to ears of a true Conservative. THIS is more like it! Empowerment to the people. Would NEVER happen with Labour
Input,@OwenJones84 @johnprescott Phoned Jeremy Hunt's constituency office just now 01428 609 416. He / they don't work weekends. Funny that.
Input,So National Information Board plans personalised 21st century healthcare for whole NHS - with power of citizens caring about their health.
Input,Better press regulator needed. Pre-election 'false' claim re Labour printed on Times' front page finally corrected.  Quoted: Press regulator orders front page correction from The Times for 'Labour tax bombshell' splash
Input,Jeremy Corbyn got 100k+ votes more to become Labour leader than Cameron got to run Tories in 2005 (& 50k more than Cameron/Davis combined)
Input,Opposed the overtly partisan Trade Union Bill at 3rd Reading & supported Labour led amendments. Thanks to all constituents who wrote to me.
Input,Great to see an extension of the GLA’s powers to tackle #modernslavery as recommended by report of both Houses in 2014.
Input,Each party must commit to giving the LPC the power to set higher minimum wages in industries that can afford to pay a higher rate now
Input,Have your say what you want to see happen at Lydiard Park.  Consultation today from 10am-4pm
Input,"We now possess a 'system-less system' of education with limited accountability, transparency and planning. #mess"
Input,Why dont you come here&hold them to account some time? Im sure theyd patiently listen to you berate them their folly
Input,Delighted to be in parliament to hear that the Government has listened to concerns & reversed the budget cuts for those with disabilities
Input,Pleased to support @Farmers4Britain today. Out of the EU more money & power will be available to farming @vote_leave
Input,"People everywhere, incl. in the NE,want to work, have good public services and help their children get on.  That's what Conservatives offer."
Input,The River Hull Strategy must be developed using the knowledge of local people.
Input,@grahamstuart how has the recruitment gone for School Direct? He's been very quiet about it. #askgove
Input,"Just congratulated @ZacGoldsmith in person.  He's hard working, dedicated and passionate about London and its people."
Input,"@claire4devizes. UK Labour,should be EU Labour?"
Input,@toadmeister I am happy the Govt was willing to listen and take action. They deserve credit for that.
Input,"Blair's election intervention backfires, he says Britons can't be trusted with an EU Referendum vote   via @MailOnline"
Input,'We need a mass movement of people lobbying their MPs so the gov cannot ignore this in the future' @timloughton #EqualCivilPartnerships
Input,Mrs Merkel finds holding together the EU empire is difficult:
Input,"Funny thing politics, three weeks ago @UKLabour said 0% of the electorate should have a say on UK EU membership now they want 110% to vote."
Input,"Electoral register loses estimated 800,000 people  We opposed gov'ts decision to switch to IER a year ahead of plans"
Input,Great to see @CatherineWest1 in the House on a Friday representing constituents on issues very close to the heart of Hornsey and Wood Green.
Input,SoS confirmed that all councils will have to publish details and costs of road maintenance on web site.
Input,In #Garforth & #Swilllington  Conservatives are putting residents in the driving seat by opening the selection process for a new Councilllor
Input,Calling all constituents to vote for a community group shortlisted by the Lloyds Bank Community Fund
Input,Are you a member of the public with an idea for Budget? 1 wk 'til survey closes  #haveyoursay
Input,"In Lords. On Labour benches are Neil Kinnock, Quentin Davies & others trying to stop the EU Referendum Bill. #LetBritainDecide"
Input,Off to CCHQ now to encourage voters to vote for the Union on 18 September #letsstaytogether
Input,The UK government has no power to cut VAT on sanitary products. The rate is set by the UE. @PhelpsieSarah
Input,Good meeting organised by CoVi supporting MP recall. I support Zac Goldsmith campaign - voters not MPs must decide
Input,Today the mainstream parties will again demonstrate zero willingness to share power with voters & they will move closer to losing it #Recall
Input,Cllr Paul Watson from Sunderland launching Key Cities Manifesto for Growth. A powerful case for devolving power.
Input,"""How Nick Clegg and Lib Dems betrayed poorest voters by siding with Tories"" in today's @thesundaypeople  #bedroomtax"
Input,The #TUbill is a bad bill | MPs line up to back trade unions and say NO to the #TUbill -
Input,"Lord Ashcroft nails it - it's not just women that the Tories don't get, but voters generally. Labour is the party most like our country."
Input,Nothing to fear from involving new supporters in Labour policy making. Should go further and involve all Labour voters.
Input,"PM: We have built something incredible in our country: a multi-ethnic, multi-faith democracy – and we're not going to let anyone destroy it."
Input,@AStuttaford @lorddeben Agreed. There are no Tory no go areas. We are a party for all.
Input,Anybody who wants to talk to me about anything can come along to the Stag at midday - be happy to chat.
Input,Public want local and working class MPs even more than they want women candidates  via @PhilipJCowley
Input,"@jsteve372 What you've just said is scary. FM's a politician not the embodiment of the State, least of all Louis XIV; 'L'etat, c'est moi'"
Input,Public mtg to be held over ongoing spate of burglaries in #Monmouth. A chance to voice ur concerns to @GwentPolice.
Input,@mumaboutleeds I can't as I have longstanding commitments in constituency. As my response will say Private Members Bills rarely succeed
Input,Attention ( especially) young people. Not being on electoral register stops you voting and pushes up your credit and loan costs.
Input,Tomorrow's front page: The fallout after a Tory MP gets a second job with a six figure salary
Input,Sec of State defends at select committee decision to refuse public enquiry into Omagh bombing. Families need justice and truth not coverup.
Input,I'm in favour of Brexit for the same reasons as Tony Benn. It's lack of democracy accountability. @Xtians4Britain
Input,The Government should appoint Commissioners to take over Oxfordshire County Council following today's report:
Input,Am hearing that Bassetlaw UKIP forgery scandal is getting worse. Still no comment from UKIP or any apology or candidate resignations.
Input,I'm pleased to hear that Dudley Council have bowed to people power & will not be pursuing with an industrial park on Halesowen's greenbelt!
Input,Just met DEFRA Secretary of State Owen Paterson to press the case for support for the people of Dawlish & to tell him we need a breakwater.
Input,Column: era of machine politics over ...except inside the Labour party
Input,Jeremy Corbyn's printing money policy is fundamentally anti worker- as bad as that other off the balance sheet trick of PFI
Input,"China now blocking Guardian online website @guardian @freetibetorg.Chinese people need access to diversity of news,facts and opinion."
Input,These Prime Ministers have been quizzed by listeners on #ElectionCall. Unfortunately @David_Cameron won't take part.
Input,So all these so called progressives will vote for a man first and second for Labour leadership and a man for deputy leader.  Old politics.
Input,1.9m people are about to lose their vote says a new report by @hopenothate | @lowles_nick
Input,@steverichards14: 'Miliband's problem is that he's too neurotically in touch'  classic example of Westminster elitism
Input,When I asked for details of Peers signing on records to check for fiddles I was refused access   Quoted: Lord Sewel’s troubles make one wonder: Is the House of Lords a democratic embarrassment?
Input,Last full day to register to vote. Text 'LABOUR' to 78555 (£3) if you #BackBurnham to put his manifesto into practice
Input,"Most of us wanted to keep the old Rock Ferry High School, but we must now debate the future of the site"
Input,"How, asks @KateHoeyMP, can Labour oppose the anti-democratic corporatism of #TTIP but not that of the EU?"
Input,@NoOffenceCIC this organisation is too pompous to dirty its hands by answering telephones. Note no local people ever featured.
Input,.@TomSkyNews Only the police can answer this for sure. One potential MP was arrested last week. I think the police should release any names.
Input,What Hancock let slip is Osborne misled Treasury Committee purely to set up political ambush. Very major democracy issue.
Input,Julian Smith: “We do need a Conservative majority to get the referendum… we shouldn’t fear it.” Audience applaud #yorksdebate
Input,@1manbandaccts @hmrcgovuk I thought it a very constructive meeting. We understand your concerns and will continue to do what we can.
Input,@SocialistAgenda Stop digging. Where does it say you have to be a Labour Party supporter on the application?
Input,Two things you can do to help this week: ✔ Vote Labour ✔ Volunteer for Labour →
Input,@KateHoeyMP now arguing for OUT @Bathfestivals - will she convince 70% of the audience who support staying IN?
Input,Hope @EmilyThornberry remembers thousands of Labour Party members want a trading relationship with #EU not political union @c4news
Input,Michael Gove told supporters in Southampton that the UK has a bright future if we #VoteLeave and #TakeControl
Input,@MichaelDugher with an excellent article on Labours declining vote with the working classes  - one for all supporters
Input,Have your say by filling in my survey at
Input,"Jacob Rees Mogg tells @LBC he thinks there's been attempts to ""gag the cabinet"" over their views on EU membership"
Input,Good to see progress being made at #A59 at #KexGill & Council in dialogue with local residents and businesses:
Input,@charlietocher @CarolEnsor80 the EU won't let the UK remove VAT on sanitary products without negotiation and agreement from all members.
Input,Spoke to a Royal Mail employee this eve in #SE17 who voted lib dem for 'many years' but wants the 'liars' out in May. He's voting @BOSLabour
Input,Leaked UKIP minutes: 'we want to privatise NHS but public won't let us'  #leadersdebate
Input,.@andyburnhammp: We don't want members of the Conservative Party deciding the future of the Labour Party #bbcgms
Input,"Charles Moore: reshuffle says that ""no minister who wants a career should have a serious interest in his/her subject"""
Input,"We will ensure Parliamentary debate on Wanless report, whether Theresa May wants it or not"
Input,"David Cameron on immigration: ""If we don't deliver our side of the bargain, vote us out in five years' time"". #PMQs"
Input,Surely not a 'stitch up' over the Chilcot report. Establishment closing ranks to protect each other? Quite shocking #truth
Input,"Never mind sampling. How many responded?   Quoted: Emails from Lab members sampled this morn - Team Corbyn says they are 'overwhelmingly against' strikes, believe party mood shifting to them"
Input,"I love Birmingham & am proud to live & work here. When this week's media circus departs, my colleagues and I will keep serving our pupils."
Input,Please sign petition calling on @leicspolice not to try to prevent hunt monitors carrying out their important work
Input,We stand together against #TUBill - first co-operators were also trade unionists: both forms of collective action to return power to people.
Input,@GwynneMP doing brilliant job calling Government to account re their disgraceful treatment of #juniordoctors Government side just shouting!!
Input,@lukemayhew It's a shame if Helen didn't pass on my apols & my offer to meet teachers in my constituency. 1/2
Input,@AlbertOwenMP Thank you for giving a voice to our concerns as Nuclear Industry workers re: exit payment cap. Bankers & TV execs not included
Input,With David Handley and 1000 farmers outside number 10 today
Input,Another good set of papers for the cause of Britain becoming a self-governing nation once again
Input,"As #Gaza death toll rises, what is ""Middle East peace envoy"" T Blair doing? Throwing a £50k party with minor celebs"
Input,Will the European Court of Justice get its way over Parliament and the PM on prisoner voting? Yes. It is the law.   Quoted: PM vows to ignore ECJ ruling on prisoner voting - source:
Input,"Scottish friends it's up to you, but I think we're always better sticking together - hope you Vote No #labourno"
Input,Automatic Registration gives a greater chance 2 vote. After that it's up to you!  Quoted: @Siobhain_MP And what if you consciously choose not to? Will we also become Labour/union member and have to pay. Will it vote Labour for me?
Input,"""Democratic consent for the EU in Britain is now wafer thin"". PM giving very direct & honest speech about why UK-EU relationship shld change"
Input,Scottish Labour leader @kdugdalemsp: Time to let voters know the kind of change we want
Input,The British people want an early EU Referendum. My latest article for @conhome:
Input,"@DonValleyTory @FletcherDonny @AlecShelbrooke  Excellent morning, lots of support and people wanting Alec fighting for them in Westminster."
Input,Applications are open for 4 people who are not MPs to serve on the Standards Committee. Apply by 16th November
Input,"Cameron cannot ignore public demand for recall of Parliament as 100,000 say #SaveOurSteel"
Input,"David Cameron pledges support for a 'very strong' S4C, despite cuts  All party support for S4C-but not in this report"
Input,Not making New Year's resolutions this year & no Dry January-but looking forward to working with others in improving our shared community.
Input,"After #PMQs @KerryMP & I wrote to Cameron as he falsely said his Govnt ""are spending more on flood defence schemes”"
Input,Former head of Civil Service confirms #TUBill is all about the Tories silencing opposition
Input,.@AlbertOwenMP asks whether sufficient scrutiny of NSC (good Q). Larry Attree says need real engagement of people on ground.
Input,Looking forward to another full constituency day including visiting small enterprises & community groups across the Island. Erdrych ymlaen
Input,".@MichaelDugherMP ""This shows once again that UKIP do not share the values of decent working people in Britain."""
Input,Thank you to the thousands of local people who have signed my petition to save our A&E at HRI. Please sign & share
Input,"Labour candidate hijacks Children In Need to attack @StuartAndrewMP, who's raised millions for children's health."
Input,Stop using royals for political stunts. Government and Civil Service are imperilling integrity and impartiality.
Input,"Tomorrow’s speech by David Cameron will define him as a weak PM being driven by his party, not by the national interest"
Input,I'll be voting for decent hardworking & dedicated politician Who understands our town & speaks in parliament for its people @EmmaLewellBuck
Input,"@johnmcdonnellMP Hi, please help us share our new research that shows community activity rebuilds trust in democracy"
Input,@drakekin Because its Crossrail related they have powers under Crossrail Act to do whatever they need so there is nothing can be done
Input,"Only one Party will stand up for us. Tomorrow, Vote Labour and help build a better Britain #TheChoice #GE2015"
Input,"George Osborne also misled  Treasury Committee over net  rise in immigration on his watch. He said up 298,000. In fact up over 1 million"
Input,Classic deliberate and calculated misquote by Flynn to divert from the real issue. Unable to debate he makes it up.  Quoted: Labour's support for migration means it will be 'out of power for a generation' says @JohnMannMP  via @politics_co_uk
Input,@PFencesMusic @richardcalhoun @DenisMacShane @JohnMannMP Shame on the M.P.s who arrogantly rob taxpayers.
Input,No union leader support yet for a #Labour mansion tax. Why not put it to the union members to decide?
Input,Another objection. Did anyone actually willingly sign this letter?  #LeaveEU
Input,"Come in David Cameron, pay back your donations from Putins pals"
Input,Congrats to firefighters todayat Parliament to protest Gov lies on pensions @fbunational Proud to support @LondonFBU
Input,I asked what allegations of child abuse were brought to Home Office's attention 1998/1999. Here is their non-answer:
Input,Gathering to collect signatures to save Kennington PO @JSimpsonLambeth @ChrisMarshSE11 @DavidAmosSE11@VauxhallLabour
Input,Thanks very much to all my constituents and others who wrote to me to express their support for my vote against bombing Syria.
Input,House of Lords has voted to allow 16 and 17-year-olds to vote in the upcoming referendum on EU membership #EUref
Input,"Mark Simmonds, the minister who said staying in hotels ""fills me with dread and horror,"" had £taxpayer TV training"
Input,There is nothing MPs can do about expenses in the House  of Lords other than to abolish it. Which we should. Time for a vote on this.
Input,95 Tory MPs vs Working Britain? Sign the letter to Cameron telling him to start listening to us:  #95ToryMPs
Input,Shocking that local residents not told. Very frightening for many. Who gets the money @metpoliceuk @MPSonthewater   Quoted: Anyone worried about the exploding bus on Lambeth Bridge just now?  It was just for a movie.
Input,The EU deal isn't legally binding and could be ignored by EU courts. The only way to take back control over our economy is to #VoteLeave
Input,Power to the people? This recall bill will do no such thing | Frank Dobson  via @guardian
Input,@Jordanairre @robdseaman81 @AveleyVillage @yourthurrock GAFC was not part of this application. Decision was not lawful and couldn't stand
Input,"UoN students - ""We need to keep showing our democratic power.""  @NottinghamCitz #GE2015"
Input,"'When governments move to attack democracy, they always attack trade unions first.' @PeterHain on the #TUBill"
Input,It's hypocritical to support local democracy for wind farms but ignore local views when it comes to fracking
Input,Devolution is a chance to open up politics and renew our democracy - @jon_trickett and @SteveReedMP blog
Input,Best wishes also today to @KellyTolhurst who's fighting to be a strong local voice for Rochester and Strood too. Don't forget to vote.
Input,@CabbieNeal @worcesterpark Role is to stand above local voices of objection and concentrate on legal evidence. Still got it wrong though!
Input,@SavetheEastHill Good to hear that @hastingsbc listened to local voices.  Eventually.
Input,"Dominic Raab speaking on Brexit: The Case for Operational Cooperation, Without Sacrificing Democratic Control"
Input,"RT if you're in support of democracy, freedom and our right to self-determination. #Falklands"
Input,"@Havering_In @Sg44more @Percy295 I believe in self-determination. Self-determination for Britain, self-determination for Scotland."
Input,@Littlefunkyh not role of deputy to dictate policies but to support leader & Party implementing them & campaigning/organising.
Input,@Camdaman @roybe Ministerial Code stated PPSs “must not associate themselves with particular groups advocating special policies”
Input,@jameswhartonuk now closing devolution debate in House of Commons. Outlining clearly the importance of devolving power to local communities
Input,NE snubbed because genuine concerns raised about top-down model government proposing? Funny kind of devolution   Quoted: Northern Powerhouse minister @jameswhartonuk: Failure to mention devo deal is #budget2015 message to North East.
Input,"Labour leadership plebiscite has the potential to be an unprecedented disaster, even by our standards, with half the selectorate from London"
Input,The tone of today's PMQs seems completely disconnected given the magnitude of what has happened in Paris.
Input,"""Fairer funding must be accompanied by devolved powers"" @HenrySmithMP #careincounties"
Input,Devolution by diktat is no devolution at all  Quoted: Greg Clark not willing to offer @NorthEastCA referendum on mayor
Input,Now @GwynneMP asking who will be accountable for NHS in Manchester with devolution. Too many bodies already but no accountability to people
Input,@CharlesTannock @DavidDavisMP it's a brave turkey that votes for Christmas that's my point. Eu insiders very disconnected from real people
Input,@F1grimreaper @GloriaDePiero @JonAshworth @labourpress I'm afraid it is not that simple. They feel totally disconnected & are not responding
Input,"Brilliant John Harris column on Labour's bizarre, disconnected slogans"
Input,#Fracking vote broke the Government's promise to protect national parks. @The_Gazette right to say it's disingenuous with the electorate
Input,"Empowering our cities will help tackle the housing crisis, says Shadow Housing Minister @EmmaReynoldsMP #CitiesDay"
Input,"“Death is something inevitable.When a man has done what he considers to be his duty to his people&his country,he can rest in peace” #Madiba"
Input,"Why were plans to allow fracking under natural heritage sites put out during Parliament's recess, without proper scrutiny and with no vote?"
Input,"David Cameron promised no top-down reorganisation of the NHS, and then wasted £3bn on exactly that  #NHS #brokenpromises"
Input,J. Corbyn wants Labour members to decide policy. He may get a shock. 67% of new union members say we shouldn't accept anymore asylum seekers
Input,@Marcus4Nuneaton on the side of local people while those in charge at the Town Hall seem intent on ignoring them.
Input,@Gian_TCatt Until we are allowed to directly elect our own Executive and have a democratic separation of powers it shall always be so
Input,@ChobhamEagle Until we have a Separation of powers in a Written Constitution like most democracies it will be ever thus regardless of party
Input,"@SirRichardLeese ""hero""leadership style apes the Unitary state,& will do until we understand and respect a separation of powers&devolution"
Input,"@stephenkb Lab's""hero""leadership style apes the Unitary state,& will do until we understand and respect a separation of powers&devolution"
Input,Devolution for Nottinghamshire: @gregclarkmp says towns and cities must ... ||| @scoopit
Input,Labour leader candidates must get on the right side of the devolution v centralisers divide and support localities not Whitehall/Westminster
Input,#UKIP forms new grouping in Eur Parliament that includes French National Front MEP  #Farage breaks promises
Input,TSC agreed to many of my amendments to Andrew Tyrie's over the top attacks on financial regulator. His heavy attack carries no authority.
Input,Difficult to justify Scotland enjoying double plus of Barnett formula and own income tax raising powers
Input,Shadow chancellor renews criticism of George Osborne's relationship with top bankers
Input,Imagine the brouhaha and kerfuffle if a newly elected Labour government had broken a promise to improve rail services in SE and SW England.
Input,"@PatGlassMP @IanMearnsMP We fought long and hard to keep our rights, don't let us lose them now, sign petition. #TUBill"
Input,"Our beautiful grandson, Nye William born today. Your vote is his future"
Input,Mystified and slightly disturbed by Irish American fundraising at Sinn Fein NYC dinner
Input,This Govt is standing up for the role of faith in public life & actively supporting the good work of faith groups
Input,@oflynnexpress Grant Shapps took out Labour minister and built 17400 majority. Who is out of touch?
Input,What a refreshingly straight talking interview tonight from Conservative MP @SMcPartlandMP on #c4news - wish they were all like that
Input,"To be clear: if the champion of Parliament does not give Parliament a say on Ms Mills' appointment, I will table a motion on this on Sept 1."
Input,PM making a fortune for the few as usual not on the side of the British people. @Ed_Miliband once again raising issues of substance #pmqs
Input,"Another busy day for my #WIN2015 team, meeting residents in #Howley #Birchwood and #Glazebury."
Input,@Conservatives trusted more on the economy today than at any point during coalition  @YouGov @EdelmanUK @CCHQPress
